arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,38.53358245726071,30.0,16.6,7.3161220969706,8.533582457260763
64,160,278369385093,AB-2,30.0,160,60,38.217339107165394,30.0,16.6,7.045619222894025,8.217339107165436
64,160,424517590749,AB-3,30.0,160,60,38.21733910716539,30.0,16.6,7.045619222894032,8.21733910716544
66,162,844776132319,AB-4,30.0,162,60,37.922851340766016,30.0,16.6,6.7937753665562415,7.922851340766071
66,162,4718856190,AB-5,30.0,162,60,37.922851340766044,30.0,16.6,6.793775366556283,7.9228513407660905
67,163,121569120783,AB-6,30.0,163,60,37.782842458588675,30.0,16.6,6.674058601572591,7.782842458588684
67,163,670749084726,AB-7,30.0,163,60,37.782842458588675,30.0,16.6,6.674058601572629,7.782842458588677
68,164,825852755105,AB-8,30.0,164,60,37.647075865378504,30.0,16.6,6.5579808139686335,7.647075865378515
68,164,136706589684,AB-9,30.0,164,60,37.64707586537846,30.0,16.6,6.55798081396861,7.647075865378467
69,165,575093329427,AB-10,30.0,165,60,37.51539403998137,30.0,16.6,6.445406571932012,7.515394039981394
69,165,891321954312,AB-11,30.0,165,60,37.51539403998135,30.0,16.6,6.445406571931929,7.515394039981392
69,165,209202122117,AB-12,30.0,165,60,37.51539403998137,30.0,16.6,6.445406571932012,7.515394039981394
69,165,185328219550,AB-13,30.0,165,60,37.51539403998135,30.0,16.6,6.445406571931929,7.515394039981392
70,166,108376890464,AB-14,30.0,166,60,37.38725275151093,30.0,16.6,6.335871186567757,7.387252751510899
70,166,219697492624,AB-15,30.0,166,60,37.38725275151093,30.0,16.6,6.335871186567704,7.38725275151089
71,167,978623784707,AB-16,30.0,167,60,37.2630832775899,30.0,16.6,6.22974164569073,7.2630832775898755
71,167,811683149089,AB-17,30.0,167,60,37.26308327758987,30.0,16.6,6.229741645690723,7.2630832775898595
71,167,171941012732,AB-18,30.0,167,60,37.263083277589885,30.0,16.6,6.229741645690708,7.263083277589887
71,167,816224748725,AB-19,30.0,167,60,37.26308327758991,30.0,16.6,6.229741645690692,7.263083277589894
72,168,274073747041,AB-20,30.0,168,60,37.14254129085648,30.0,16.6,6.126724371802281,7.142541290856517
73,169,431704183663,AB-21,30.0,169,60,37.142642341030346,30.0,16.6,6.126970552684247,7.142642341030321
73,169,940029819622,AB-22,30.0,169,60,37.14264234103037,30.0,16.6,6.126970552684287,7.1426423410303315
74,170,817649378776,AB-23,30.0,170,60,37.14274885255217,30.0,16.6,6.12721727989442,7.142748852552186
74,170,336111950120,AB-24,30.0,170,60,37.14274885255218,30.0,16.6,6.1272172798943,7.142748852552186
75,171,175410453742,AB-25,30.0,171,60,37.14286042129789,30.0,16.6,6.127463952148042,7.142860421297896
75,171,372832046289,AB-26,30.0,171,60,37.14286042129792,30.0,16.6,6.127463952148042,7.142860421297913
75,171,5688507352,AB-27,30.0,171,60,37.142860421297904,30.0,16.6,6.127463952148044,7.142860421297905
75,171,252426353444,AB-28,30.0,171,60,37.14286042129789,30.0,16.6,6.127463952148049,7.142860421297894
76,172,795662508473,AB-29,30.0,172,60,37.14297789196959,30.0,16.6,6.127712401737507,7.142977891969583
76,172,15254971246,AB-30,30.0,172,60,37.142977891969565,30.0,16.6,6.127712401737433,7.142977891969536
76,172,598843376928,AB-31,30.0,172,60,37.14297789196959,30.0,16.6,6.127712401737507,7.142977891969583
77,173,603804539042,AB-32,30.0,173,60,37.143100204426034,30.0,16.6,6.127960577189456,7.143100204426015
77,173,105147685412,AB-33,30.0,173,60,37.143100204426034,30.0,16.6,6.127960577189417,7.143100204425998
77,173,381943444943,AB-34,30.0,173,60,37.143100204426034,30.0,16.6,6.127960577189456,7.143100204426015
77,173,36476056592,AB-35,30.0,173,60,37.143100204426034,30.0,16.6,6.127960577189417,7.143100204425998
77,173,890411563442,AB-36,30.0,173,60,37.143100204426034,30.0,16.6,6.127960577189456,7.143100204426015
77,173,980920857012,AB-37,30.0,173,60,37.14310020442603,30.0,16.6,6.127960577189431,7.14310020442601
77,173,59941988818,AB-38,30.0,173,60,37.143100204426034,30.0,16.6,6.127960577189369,7.143100204426007
78,174,890545944728,AB-39,30.0,174,60,37.143230142832984,30.0,16.6,6.128211896928999,7.143230142832995
78,174,576901499400,AB-40,30.0,174,60,37.14323014283299,30.0,16.6,6.128211896928997,7.143230142833012
78,174,742479689097,AB-41,30.0,174,60,37.143230142832984,30.0,16.6,6.128211896928999,7.143230142832995
79,175,630183936475,AB-42,30.0,175,60,37.14336419642876,30.0,16.6,6.1284609912663885,7.143364196428765
79,175,581842192398,AB-43,30.0,175,60,37.14336419642875,30.0,16.6,6.1284609912663255,7.143364196428751
80,176,20439132026,AB-44,30.0,176,60,37.143501008808,30.0,16.6,6.128706302833294,7.143501008807996
80,176,210026577672,AB-45,30.0,176,60,37.14350100880803,30.0,16.6,6.12870630283334,7.143501008808013
80,176,544684878178,AB-46,30.0,176,60,37.143501008808,30.0,16.6,6.128706302833294,7.143501008807996
80,176,769115171105,AB-47,30.0,176,60,37.14350100880803,30.0,16.6,6.12870630283334,7.143501008808013
81,177,250695229138,AB-48,30.0,177,60,37.143642039605076,30.0,16.6,6.128948815497321,7.143642039605095
81,177,285895690406,AB-49,30.0,177,60,37.14364203960507,30.0,16.6,6.128948815497205,7.143642039605097
81,177,852395087841,AB-50,30.0,177,60,37.143642039605076,30.0,16.6,6.128948815497321,7.143642039605095
82,178,975006493606,AB-51,30.0,178,60,37.14378604261116,30.0,16.6,6.129187073462034,7.143786042611165
82,178,884853293491,AB-52,30.0,178,60,37.14378604261114,30.0,16.6,6.129187073461987,7.1437860426111355
82,178,359507843936,AB-53,30.0,178,60,37.14378604261116,30.0,16.6,6.129187073462034,7.143786042611165
82,178,598858945875,AB-54,30.0,178,60,37.14378604261114,30.0,16.6,6.129187073461987,7.1437860426111355
83,179,354795611657,AB-55,30.0,179,60,37.143933815908056,30.0,16.6,6.129421018026338,7.143933815908043
84,180,340190215370,AB-56,30.0,180,60,37.14408193883277,30.0,16.6,6.129648771900561,7.1440819388327865
84,180,178080989505,AB-57,30.0,180,60,37.144081938832755,30.0,16.6,6.129648771900575,7.144081938832769
84,180,237694208624,AB-58,30.0,180,60,37.14408193883277,30.0,16.6,6.129648771900561,7.1440819388327865
84,180,44862282460,AB-59,30.0,180,60,37.144081938832755,30.0,16.6,6.129648771900575,7.144081938832769
84,180,505431429635,AB-60,30.0,180,60,37.14408193883277,30.0,16.6,6.129648771900561,7.1440819388327865
85,181,376252454297,AB-61,30.0,181,60,37.14423452648055,30.0,16.6,6.129871579078433,7.144234526480546
85,181,592805400975,AB-62,30.0,181,60,37.14423452648057,30.0,16.6,6.129871579078431,7.1442345264805525
86,182,629941875587,AB-63,30.0,182,60,37.144388163537414,30.0,16.6,6.130088079408459,7.144388163537421
86,182,142600314446,AB-64,30.0,182,60,37.1443881635374,30.0,16.6,6.130088079408434,7.144388163537405
86,182,933841299466,AB-65,30.0,182,60,37.144388163537386,30.0,16.6,6.130088079408414,7.1443881635374025
86,182,946379880809,AB-66,30.0,182,60,37.14438816353743,30.0,16.6,6.130088079408464,7.14438816353744
87,183,602296657730,AB-67,30.0,183,60,37.144545063304356,30.0,16.6,6.130298450723022,7.144545063304338
87,183,387766280326,AB-68,30.0,183,60,37.14454506330448,30.0,16.6,6.130298450723094,7.144545063304458
87,183,363188004109,AB-69,30.0,183,60,37.14454506330443,30.0,16.6,6.130298450723083,7.144545063304418
87,183,204345276868,AB-70,30.0,183,60,37.14454506330443,30.0,16.6,6.13029845072313,7.144545063304409
87,183,276765061396,AB-71,30.0,183,60,37.14454506330441,30.0,16.6,6.13029845072306,7.1445450633044
87,183,246535881203,AB-72,30.0,183,60,37.14454506330443,30.0,16.6,6.130298450723058,7.14454506330441
88,184,173608001740,AB-73,30.0,184,60,37.14470797791388,30.0,16.6,6.130502266625118,7.144707977913871
88,184,966609694487,AB-74,30.0,184,60,37.144707977913875,30.0,16.6,6.130502266625116,7.144707977913874
88,184,957012600352,AB-75,30.0,184,60,37.144707977913896,30.0,16.6,6.130502266625061,7.144707977913898
88,184,597973684328,AB-76,30.0,184,60,37.14470797791393,30.0,16.6,6.130502266625202,7.14470797791393
89,185,731300753059,AB-77,30.0,185,60,37.14487451326539,30.0,16.6,6.1306990234259215,7.144874513265371
89,185,340385222837,AB-78,30.0,185,60,37.144874513265414,30.0,16.6,6.130699023426003,7.144874513265406
89,185,92055603377,AB-79,30.0,185,60,37.14487451326538,30.0,16.6,6.130699023425947,7.144874513265377
90,186,463498018937,AB-80,30.0,186,60,37.1450432238812,30.0,16.6,6.130888715000609,7.145043223881202
91,187,508698893238,AB-81,30.0,187,60,37.14521123403457,30.0,16.6,6.131071809840297,7.145211234034555
91,187,88460173002,AB-82,30.0,187,60,37.14521123403455,30.0,16.6,6.1310718098403045,7.145211234034544
92,188,528035223318,AB-83,30.0,188,60,37.14537985103642,30.0,16.6,6.1312482740779535,7.145379851036418
92,188,992158036510,AB-84,30.0,188,60,37.145379851036395,30.0,16.6,6.13124827407788,7.145379851036409
92,188,395035931758,AB-85,30.0,188,60,37.14537985103642,30.0,16.6,6.1312482740779535,7.145379851036418
