arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.000005347830072,30.0,16.6,1.704937737576175e-06,5.3478301252557775e-06
64,160,278369385093,AB-2,30.0,160,60,30.000004893833594,30.0,16.6,1.6663599318082993e-06,4.893833639128317e-06
64,160,424517590749,AB-3,30.0,160,60,30.000004893833594,30.0,16.6,1.6663599318082993e-06,4.893833638916897e-06
66,162,844776132319,AB-4,30.0,162,60,30.00000434218054,30.0,16.6,1.5751123124600746e-06,4.3421805871305605e-06
66,162,4718856190,AB-5,30.0,162,60,30.00000434218054,30.0,16.6,1.5751123124600746e-06,4.342180587152431e-06
67,163,121569120783,AB-6,30.0,163,60,30.000004064668502,30.0,16.6,1.5222007141160006e-06,4.0646685128820895e-06
67,163,670749084726,AB-7,30.0,163,60,30.000004064668502,30.0,16.6,1.5222007141160006e-06,4.064668512677958e-06
68,164,825852755105,AB-8,30.0,164,60,30.000003796338603,30.0,16.6,1.468415073169896e-06,3.796338613391798e-06
68,164,136706589684,AB-9,30.0,164,60,30.000003796338603,30.0,16.6,1.468415073126154e-06,3.7963386128814744e-06
69,165,575093329427,AB-10,30.0,165,60,30.000003540919604,30.0,16.6,1.415459088010203e-06,3.5409196351497804e-06
69,165,891321954312,AB-11,30.0,165,60,30.000003540919604,30.0,16.6,1.415459088010203e-06,3.5409196350586507e-06
69,165,209202122117,AB-12,30.0,165,60,30.000003540919604,30.0,16.6,1.415459088010203e-06,3.5409196351497804e-06
69,165,185328219550,AB-13,30.0,165,60,30.000003540919604,30.0,16.6,1.415459088010203e-06,3.5409196350586507e-06
70,166,108376890464,AB-14,30.0,166,60,30.00000330105965,30.0,16.6,1.364687992459952e-06,3.301059609465595e-06
70,166,219697492624,AB-15,30.0,166,60,30.00000330105965,30.0,16.6,1.3646879925474364e-06,3.301059609203141e-06
71,167,978623784707,AB-16,30.0,167,60,30.000003077049097,30.0,16.6,1.3167043746006489e-06,3.0770490880643454e-06
71,167,811683149089,AB-17,30.0,167,60,30.000003077049097,30.0,16.6,1.3167043746443911e-06,3.077049087885732e-06
71,167,171941012732,AB-18,30.0,167,60,30.000003077049097,30.0,16.6,1.3167043746881334e-06,3.0770490879805065e-06
71,167,816224748725,AB-19,30.0,167,60,30.000003077049097,30.0,16.6,1.3167043746881334e-06,3.0770490879768613e-06
72,168,274073747041,AB-20,30.0,168,60,30.000002869331357,30.0,16.6,1.2721057107580829e-06,2.869331384906949e-06
73,169,431704183663,AB-21,30.0,169,60,30.000002745060048,30.0,16.6,1.2598039474381591e-06,2.7450600161582164e-06
73,169,940029819622,AB-22,30.0,169,60,30.000002745060048,30.0,16.6,1.2598039474381591e-06,2.7450600160743767e-06
74,170,817649378776,AB-23,30.0,170,60,30.00000262115772,30.0,16.6,1.2469931509077193e-06,2.621157734400284e-06
74,170,336111950120,AB-24,30.0,170,60,30.00000262115772,30.0,16.6,1.2469931509077193e-06,2.6211577343273805e-06
75,171,175410453742,AB-25,30.0,171,60,30.00000249786263,30.0,16.6,1.2337323907473273e-06,2.4978626451212364e-06
75,171,372832046289,AB-26,30.0,171,60,30.00000249786263,30.0,16.6,1.233732390703585e-06,2.497862645044687e-06
75,171,5688507352,AB-27,30.0,171,60,30.00000249786263,30.0,16.6,1.2337323907473273e-06,2.497862645270689e-06
75,171,252426353444,AB-28,30.0,171,60,30.00000249786263,30.0,16.6,1.2337323907473273e-06,2.4978626451941397e-06
76,172,795662508473,AB-29,30.0,172,60,30.000002375342927,30.0,16.6,1.220048011520211e-06,2.3753428934738412e-06
76,172,15254971246,AB-30,30.0,172,60,30.000002375342927,30.0,16.6,1.220048011520211e-06,2.3753428934847773e-06
76,172,598843376928,AB-31,30.0,172,60,30.000002375342927,30.0,16.6,1.220048011520211e-06,2.3753428934738412e-06
77,173,603804539042,AB-32,30.0,173,60,30.000002253890546,30.0,16.6,1.2060410944655411e-06,2.2538905190190245e-06
77,173,105147685412,AB-33,30.0,173,60,30.000002253890546,30.0,16.6,1.2060410944655411e-06,2.2538905188039578e-06
77,173,381943444943,AB-34,30.0,173,60,30.000002253890546,30.0,16.6,1.2060410944655411e-06,2.2538905190190245e-06
77,173,36476056592,AB-35,30.0,173,60,30.000002253890546,30.0,16.6,1.2060410944655411e-06,2.2538905188039578e-06
77,173,890411563442,AB-36,30.0,173,60,30.000002253890546,30.0,16.6,1.2060410944655411e-06,2.2538905190190245e-06
77,173,980920857012,AB-37,30.0,173,60,30.000002253890546,30.0,16.6,1.206041094421799e-06,2.2538905188185386e-06
77,173,59941988818,AB-38,30.0,173,60,30.000002253890546,30.0,16.6,1.206041094421799e-06,2.253890518880507e-06
78,174,890545944728,AB-39,30.0,174,60,30.00000213361766,30.0,16.6,1.191718482042405e-06,2.1336176731046114e-06
78,174,576901499400,AB-40,30.0,174,60,30.00000213361766,30.0,16.6,1.1917184819549208e-06,2.1336176731592873e-06
78,174,742479689097,AB-41,30.0,174,60,30.00000213361766,30.0,16.6,1.191718482042405e-06,2.1336176731046114e-06
79,175,630183936475,AB-42,30.0,175,60,30.000002014910475,30.0,16.6,1.1772586118854965e-06,2.014910476738253e-06
79,175,581842192398,AB-43,30.0,175,60,30.000002014910475,30.0,16.6,1.1772586118854965e-06,2.01491047666535e-06
80,176,20439132026,AB-44,30.0,176,60,30.000001898006122,30.0,16.6,1.1627715726688768e-06,1.898006099124749e-06
80,176,210026577672,AB-45,30.0,176,60,30.000001898006122,30.0,16.6,1.1627715727563612e-06,1.8980060990773621e-06
80,176,544684878178,AB-46,30.0,176,60,30.000001898006122,30.0,16.6,1.1627715726688768e-06,1.898006099124749e-06
80,176,769115171105,AB-47,30.0,176,60,30.000001898006122,30.0,16.6,1.1627715727563612e-06,1.8980060990773621e-06
81,177,250695229138,AB-48,30.0,177,60,30.000001783033312,30.0,16.6,1.1483138032304996e-06,1.7830333336769096e-06
81,177,285895690406,AB-49,30.0,177,60,30.000001783033312,30.0,16.6,1.1483138031867573e-06,1.7830333337206518e-06
81,177,852395087841,AB-50,30.0,177,60,30.000001783033312,30.0,16.6,1.1483138032304996e-06,1.7830333336769096e-06
82,178,975006493606,AB-51,30.0,178,60,30.00000167017395,30.0,16.6,1.1339907510234152e-06,1.6701739480127693e-06
82,178,884853293491,AB-52,30.0,178,60,30.00000167017395,30.0,16.6,1.133990750979673e-06,1.6701739481075444e-06
82,178,359507843936,AB-53,30.0,178,60,30.00000167017395,30.0,16.6,1.1339907510234152e-06,1.6701739480127693e-06
82,178,598858945875,AB-54,30.0,178,60,30.00000167017395,30.0,16.6,1.133990750979673e-06,1.6701739481075444e-06
83,179,354795611657,AB-55,30.0,179,60,30.00000155953124,30.0,16.6,1.1198717096207843e-06,1.5595312268039758e-06
84,180,340190215370,AB-56,30.0,180,60,30.00000145123952,30.0,16.6,1.1060667012085447e-06,1.4512395314209052e-06
84,180,178080989505,AB-57,30.0,180,60,30.00000145123952,30.0,16.6,1.1060667012522872e-06,1.4512395314008572e-06
84,180,237694208624,AB-58,30.0,180,60,30.00000145123952,30.0,16.6,1.1060667012085447e-06,1.4512395314209052e-06
