arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,51.24791684269307,30.0,16.6,7.0746060934534905,21.24791684269313
64,160,278369385093,AB-2,30.0,160,60,50.45901177959365,30.0,16.6,6.805312426098862,20.4590117795937
64,160,424517590749,AB-3,30.0,160,60,50.45901177959368,30.0,16.6,6.805312426098904,20.459011779593745
66,162,844776132319,AB-4,30.0,162,60,49.72452694702757,30.0,16.6,6.554746036616756,19.72452694702762
66,162,4718856190,AB-5,30.0,162,60,49.72452694702757,30.0,16.6,6.554746036616778,19.72452694702763
67,163,121569120783,AB-6,30.0,163,60,49.37538063424282,30.0,16.6,6.435687400402678,19.37538063424283
67,163,670749084726,AB-7,30.0,163,60,49.37538063424283,30.0,16.6,6.435687400402723,19.37538063424283
68,164,825852755105,AB-8,30.0,164,60,49.03684520451606,30.0,16.6,6.320278116848003,19.036845204516077
68,164,136706589684,AB-9,30.0,164,60,49.03684520451598,30.0,16.6,6.320278116847964,19.036845204515988
69,165,575093329427,AB-10,30.0,165,60,48.708525767969775,30.0,16.6,6.2083812588134535,18.708525767969803
69,165,891321954312,AB-11,30.0,165,60,48.70852576796976,30.0,16.6,6.208381258813457,18.708525767969796
69,165,209202122117,AB-12,30.0,165,60,48.708525767969775,30.0,16.6,6.2083812588134535,18.708525767969803
69,165,185328219550,AB-13,30.0,165,60,48.70852576796976,30.0,16.6,6.208381258813457,18.708525767969796
70,166,108376890464,AB-14,30.0,166,60,48.38906298749884,30.0,16.6,6.099528752133143,18.389062987498814
70,166,219697492624,AB-15,30.0,166,60,48.389062987498896,30.0,16.6,6.099528752133127,18.38906298749885
71,167,978623784707,AB-16,30.0,167,60,48.07953147936368,30.0,16.6,5.994087834993525,18.079531479363652
71,167,811683149089,AB-17,30.0,167,60,48.07953147936364,30.0,16.6,5.9940878349935405,18.079531479363627
71,167,171941012732,AB-18,30.0,167,60,48.07953147936368,30.0,16.6,5.994087834993594,18.07953147936369
71,167,816224748725,AB-19,30.0,167,60,48.079531479363716,30.0,16.6,5.994087834993567,18.0795314793637
72,168,274073747041,AB-20,30.0,168,60,47.779070915860636,30.0,16.6,5.891760811953677,17.77907091586069
73,169,431704183663,AB-21,30.0,169,60,47.779381764273786,30.0,16.6,5.891617837760106,17.779381764273772
73,169,940029819622,AB-22,30.0,169,60,47.77938176427383,30.0,16.6,5.89161783776019,17.77938176427381
74,170,817649378776,AB-23,30.0,170,60,47.77969788510256,30.0,16.6,5.8914728340742055,17.77969788510258
74,170,336111950120,AB-24,30.0,170,60,47.77969788510254,30.0,16.6,5.8914728340741815,17.779697885102554
75,171,175410453742,AB-25,30.0,171,60,47.78001839902022,30.0,16.6,5.891326197965369,17.780018399020225
75,171,372832046289,AB-26,30.0,171,60,47.78001839902031,30.0,16.6,5.8913261979654,17.7800183990203
75,171,5688507352,AB-27,30.0,171,60,47.78001839902024,30.0,16.6,5.891326197965369,17.78001839902025
75,171,252426353444,AB-28,30.0,171,60,47.780018399020214,30.0,16.6,5.891326197965438,17.78001839902021
76,172,795662508473,AB-29,30.0,172,60,47.78034550386052,30.0,16.6,5.891176789470734,17.78034550386051
76,172,15254971246,AB-30,30.0,172,60,47.78034550386043,30.0,16.6,5.891176789470682,17.780345503860403
76,172,598843376928,AB-31,30.0,172,60,47.78034550386052,30.0,16.6,5.891176789470734,17.78034550386051
77,173,603804539042,AB-32,30.0,173,60,47.780676496618945,30.0,16.6,5.891025906812388,17.780676496618934
77,173,105147685412,AB-33,30.0,173,60,47.780676496618874,30.0,16.6,5.8910259068123585,17.780676496618852
