arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.00000520575193,30.0,16.6,1.6956356309926855e-06,5.205751980457763e-06
64,160,278369385093,AB-2,30.0,160,60,30.000004754970266,30.0,16.6,1.6568213860187904e-06,4.7549703114776256e-06
64,160,424517590749,AB-3,30.0,160,60,30.000004754970266,30.0,16.6,1.6568213860187904e-06,4.754970311266205e-06
66,162,844776132319,AB-4,30.0,162,60,30.00000421092118,30.0,16.6,1.5661780017328966e-06,4.210921227758888e-06
66,162,4718856190,AB-5,30.0,162,60,30.00000421092118,30.0,16.6,1.5661780018203811e-06,4.210921227780758e-06
67,163,121569120783,AB-6,30.0,163,60,30.00000393781844,30.0,16.6,1.5137358364037598e-06,3.937818453372423e-06
67,163,670749084726,AB-7,30.0,163,60,30.00000393781844,30.0,16.6,1.513735836316275e-06,3.937818453168292e-06
68,164,825852755105,AB-8,30.0,164,60,30.00000367397068,30.0,16.6,1.4604710278169216e-06,3.6739706906276396e-06
68,164,136706589684,AB-9,30.0,164,60,30.00000367397068,30.0,16.6,1.4604710277731794e-06,3.6739706901209615e-06
69,165,575093329427,AB-10,30.0,165,60,30.00000342296468,30.0,16.6,1.4080568263430335e-06,3.42296471114893e-06
69,165,891321954312,AB-11,30.0,165,60,30.00000342296468,30.0,16.6,1.4080568264305178e-06,3.4229647110578003e-06
69,165,209202122117,AB-12,30.0,165,60,30.00000342296468,30.0,16.6,1.4080568263430335e-06,3.42296471114893e-06
69,165,185328219550,AB-13,30.0,165,60,30.00000342296468,30.0,16.6,1.4080568264305178e-06,3.4229647110578003e-06
70,166,108376890464,AB-14,30.0,166,60,30.00000318733565,30.0,16.6,1.3578257635225834e-06,3.1873356100939323e-06
70,166,219697492624,AB-15,30.0,166,60,30.00000318733565,30.0,16.6,1.3578257635225834e-06,3.187335609824188e-06
71,167,978623784707,AB-16,30.0,167,60,30.000002967323734,30.0,16.6,1.3103680712753178e-06,2.9673237235142914e-06
71,167,811683149089,AB-17,30.0,167,60,30.000002967323734,30.0,16.6,1.310368071362802e-06,2.967323723332033e-06
71,167,171941012732,AB-18,30.0,167,60,30.000002967323734,30.0,16.6,1.31036807131906e-06,2.967323723423162e-06
71,167,816224748725,AB-19,30.0,167,60,30.000002967323734,30.0,16.6,1.310368071362802e-06,2.967323723419517e-06
72,168,274073747041,AB-20,30.0,168,60,30.00000276332255,30.0,16.6,1.2662710884564754e-06,2.7633225756771085e-06
73,169,431704183663,AB-21,30.0,169,60,30.000002640076385,30.0,16.6,1.2541185219503309e-06,2.6400763538717032e-06
73,169,940029819622,AB-22,30.0,169,60,30.000002640076385,30.0,16.6,1.2541185219940731e-06,2.6400763537878635e-06
74,170,817649378776,AB-23,30.0,170,60,30.000002517241622,30.0,16.6,1.2414683383320892e-06,2.5172416384913073e-06
74,170,336111950120,AB-24,30.0,170,60,30.000002517241622,30.0,16.6,1.241468338244605e-06,2.517241638418404e-06
75,171,175410453742,AB-25,30.0,171,60,30.0000023950516,30.0,16.6,1.2283789326777905e-06,2.395051612558959e-06
75,171,372832046289,AB-26,30.0,171,60,30.0000023950516,30.0,16.6,1.228378932721533e-06,2.395051612486055e-06
75,171,5688507352,AB-27,30.0,171,60,30.0000023950516,30.0,16.6,1.2283789326777905e-06,2.3950516127084117e-06
75,171,252426353444,AB-28,30.0,171,60,30.0000023950516,30.0,16.6,1.2283789326777905e-06,2.3950516126318624e-06
76,172,795662508473,AB-29,30.0,172,60,30.00000227367226,30.0,16.6,1.2148763159290026e-06,2.273672225847157e-06
76,172,15254971246,AB-30,30.0,172,60,30.00000227367226,30.0,16.6,1.2148763160164867e-06,2.273672225858093e-06
76,172,598843376928,AB-31,30.0,172,60,30.00000227367226,30.0,16.6,1.2148763159290026e-06,2.273672225847157e-06
77,173,603804539042,AB-32,30.0,173,60,30.000002153387122,30.0,16.6,1.2010602141481998e-06,2.1533870944802295e-06
77,173,105147685412,AB-33,30.0,173,60,30.000002153387122,30.0,16.6,1.2010602141481998e-06,2.153387094265163e-06
77,173,381943444943,AB-34,30.0,173,60,30.000002153387122,30.0,16.6,1.2010602141481998e-06,2.1533870944802295e-06
77,173,36476056592,AB-35,30.0,173,60,30.000002153387122,30.0,16.6,1.2010602141481998e-06,2.153387094265163e-06
77,173,890411563442,AB-36,30.0,173,60,30.000002153387122,30.0,16.6,1.2010602141481998e-06,2.1533870944802295e-06
77,173,980920857012,AB-37,30.0,173,60,30.000002153387122,30.0,16.6,1.2010602141044575e-06,2.153387094283389e-06
77,173,59941988818,AB-38,30.0,173,60,30.000002153387122,30.0,16.6,1.2010602141044575e-06,2.1533870943453573e-06
78,174,890545944728,AB-39,30.0,174,60,30.000002034307787,30.0,16.6,1.1869373053675891e-06,2.0343077996010776e-06
78,174,576901499400,AB-40,30.0,174,60,30.000002034307787,30.0,16.6,1.1869373053675891e-06,2.034307799663044e-06
78,174,742479689097,AB-41,30.0,174,60,30.000002034307787,30.0,16.6,1.1869373053675891e-06,2.0343077996010776e-06
79,175,630183936475,AB-42,30.0,175,60,30.00000191680559,30.0,16.6,1.1726833821755576e-06,1.9168055924144617e-06
79,175,581842192398,AB-43,30.0,175,60,30.00000191680559,30.0,16.6,1.172683382088073e-06,1.916805592341559e-06
80,176,20439132026,AB-44,30.0,176,60,30.000001801108493,30.0,16.6,1.1584066832578519e-06,1.8011084680690093e-06
