arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.000000422616555,30.0,16.6,1.690466240221053e-06,4.226165600552632e-07
64,160,278369385093,AB-2,30.0,160,60,30.000000135838263,30.0,16.6,1.630059176238644e-06,1.3583826468655364e-07
64,160,424517590749,AB-3,30.0,160,60,30.000000135838263,30.0,16.6,1.6300591761511598e-06,1.358382646792633e-07
