arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,39.14324249086298,30.0,16.6,7.3159204032272624,9.143242490863035
64,160,278369385093,AB-2,30.0,160,60,38.80446053040883,30.0,16.6,7.045457078921264,8.804460530408875
64,160,424517590749,AB-3,30.0,160,60,38.80446053040883,30.0,16.6,7.045457078921313,8.804460530408882
66,162,844776132319,AB-4,30.0,162,60,38.48898914356857,30.0,16.6,6.793653633630625,8.488989143568624
66,162,4718856190,AB-5,30.0,162,60,38.48898914356859,30.0,16.6,6.793653633630564,8.488989143568638
67,163,121569120783,AB-6,30.0,163,60,38.339005573665005,30.0,16.6,6.673957380915973,8.339005573665014
67,163,670749084726,AB-7,30.0,163,60,38.339005573665005,30.0,16.6,6.673957380915969,8.339005573665007
68,164,825852755105,AB-8,30.0,164,60,38.19356755995127,30.0,16.6,6.5579003348732225,8.193567559951283
68,164,136706589684,AB-9,30.0,164,60,38.19356755995123,30.0,16.6,6.557900334873206,8.193567559951234
69,165,575093329427,AB-10,30.0,165,60,38.052506293853945,30.0,16.6,6.445347046470837,8.052506293853963
69,165,891321954312,AB-11,30.0,165,60,38.052506293853924,30.0,16.6,6.445347046470818,8.05250629385396
69,165,209202122117,AB-12,30.0,165,60,38.052506293853945,30.0,16.6,6.445347046470837,8.052506293853963
69,165,185328219550,AB-13,30.0,165,60,38.052506293853924,30.0,16.6,6.445347046470818,8.05250629385396
70,166,108376890464,AB-14,30.0,166,60,37.91523883010318,30.0,16.6,6.3358329431069915,7.915238830103148
70,166,219697492624,AB-15,30.0,166,60,37.915238830103185,30.0,16.6,6.335832943107058,7.915238830103145
71,167,978623784707,AB-16,30.0,167,60,37.782227015741,30.0,16.6,6.22972485781324,7.782227015740979
71,167,811683149089,AB-17,30.0,167,60,37.78222701574097,30.0,16.6,6.229724857813232,7.782227015740962
71,167,171941012732,AB-18,30.0,167,60,37.782227015740986,30.0,16.6,6.229724857813234,7.78222701574099
71,167,816224748725,AB-19,30.0,167,60,37.78222701574101,30.0,16.6,6.229724857813246,7.782227015740998
72,168,274073747041,AB-20,30.0,168,60,37.65310206689302,30.0,16.6,6.126729312438539,7.653102066893062
73,169,431704183663,AB-21,30.0,169,60,37.65322431356579,30.0,16.6,6.126983670425249,7.653224313565758
73,169,940029819622,AB-22,30.0,169,60,37.65322431356581,30.0,16.6,6.126983670425308,7.653224313565774
74,170,817649378776,AB-23,30.0,170,60,37.653352056014086,30.0,16.6,6.127238441543068,7.653352056014109
74,170,336111950120,AB-24,30.0,170,60,37.6533520560141,30.0,16.6,6.127238441543044,7.653352056014107
75,171,175410453742,AB-25,30.0,171,60,37.65348483886613,30.0,16.6,6.127493010818863,7.6534848388661345
75,171,372832046289,AB-26,30.0,171,60,37.653484838866156,30.0,16.6,6.127493010818883,7.653484838866153
75,171,5688507352,AB-27,30.0,171,60,37.65348483886614,30.0,16.6,6.127493010818874,7.653484838866144
75,171,252426353444,AB-28,30.0,171,60,37.65348483886613,30.0,16.6,6.127493010818832,7.65348483886613
76,172,795662508473,AB-29,30.0,172,60,37.653623664771494,30.0,16.6,6.127749273622812,7.653623664771484
76,172,15254971246,AB-30,30.0,172,60,37.65362366477146,30.0,16.6,6.127749273622762,7.653623664771432
76,172,598843376928,AB-31,30.0,172,60,37.653623664771494,30.0,16.6,6.127749273622812,7.653623664771484
77,173,603804539042,AB-32,30.0,173,60,37.65376729709489,30.0,16.6,6.128005112026202,7.653767297094865
77,173,105147685412,AB-33,30.0,173,60,37.65376729709488,30.0,16.6,6.128005112026171,7.653767297094846
77,173,381943444943,AB-34,30.0,173,60,37.65376729709489,30.0,16.6,6.128005112026202,7.653767297094865
77,173,36476056592,AB-35,30.0,173,60,37.65376729709488,30.0,16.6,6.128005112026171,7.653767297094846
77,173,890411563442,AB-36,30.0,173,60,37.65376729709489,30.0,16.6,6.128005112026202,7.653767297094865
77,173,980920857012,AB-37,30.0,173,60,37.65376729709487,30.0,16.6,6.12800511202618,7.653767297094858
77,173,59941988818,AB-38,30.0,173,60,37.65376729709488,30.0,16.6,6.128005112026128,7.653767297094851
78,174,890545944728,AB-39,30.0,174,60,37.65391880823005,30.0,16.6,6.12826398476482,7.653918808230063
78,174,576901499400,AB-40,30.0,174,60,37.65391880823006,30.0,16.6,6.128263984764859,7.653918808230084
78,174,742479689097,AB-41,30.0,174,60,37.65391880823005,30.0,16.6,6.12826398476482,7.653918808230063
79,175,630183936475,AB-42,30.0,175,60,37.654074229174064,30.0,16.6,6.128520392943589,7.654074229174064
79,175,581842192398,AB-43,30.0,175,60,37.65407422917404,30.0,16.6,6.128520392943515,7.654074229174044
80,176,20439132026,AB-44,30.0,176,60,37.65423207200907,30.0,16.6,6.128772758412841,7.654232072009066
80,176,210026577672,AB-45,30.0,176,60,37.65423207200911,30.0,16.6,6.128772758412932,7.654232072009091
80,176,544684878178,AB-46,30.0,176,60,37.65423207200907,30.0,16.6,6.128772758412841,7.654232072009066
80,176,769115171105,AB-47,30.0,176,60,37.65423207200911,30.0,16.6,6.128772758412932,7.654232072009091
81,177,250695229138,AB-48,30.0,177,60,37.6543938750956,30.0,16.6,6.129022025886325,7.654393875095622
81,177,285895690406,AB-49,30.0,177,60,37.65439387509559,30.0,16.6,6.129022025886308,7.654393875095622
81,177,852395087841,AB-50,30.0,177,60,37.6543938750956,30.0,16.6,6.129022025886325,7.654393875095622
82,178,975006493606,AB-51,30.0,178,60,37.65455826894106,30.0,16.6,6.129266715958794,7.654558268941065
82,178,884853293491,AB-52,30.0,178,60,37.65455826894103,30.0,16.6,6.129266715958703,7.654558268941027
82,178,359507843936,AB-53,30.0,178,60,37.65455826894106,30.0,16.6,6.129266715958794,7.654558268941065
82,178,598858945875,AB-54,30.0,178,60,37.65455826894103,30.0,16.6,6.129266715958703,7.654558268941027
83,179,354795611657,AB-55,30.0,179,60,37.65472604104728,30.0,16.6,6.129506701670738,7.654726041047271
84,180,340190215370,AB-56,30.0,180,60,37.654893622277854,30.0,16.6,6.1297402013410505,7.654893622277874
84,180,178080989505,AB-57,30.0,180,60,37.65489362227784,30.0,16.6,6.129740201340984,7.654893622277851
84,180,237694208624,AB-58,30.0,180,60,37.654893622277854,30.0,16.6,6.1297402013410505,7.654893622277874
84,180,44862282460,AB-59,30.0,180,60,37.65489362227784,30.0,16.6,6.129740201340984,7.654893622277851
84,180,505431429635,AB-60,30.0,180,60,37.654893622277854,30.0,16.6,6.1297402013410505,7.654893622277874
85,181,376252454297,AB-61,30.0,181,60,37.655065214006726,30.0,16.6,6.12996825031407,7.655065214006719
85,181,592805400975,AB-62,30.0,181,60,37.65506521400673,30.0,16.6,6.129968250314029,7.655065214006721
86,182,629941875587,AB-63,30.0,182,60,37.65523729852724,30.0,16.6,6.130189619877873,7.655237298527243
86,182,142600314446,AB-64,30.0,182,60,37.65523729852722,30.0,16.6,6.130189619877791,7.655237298527221
86,182,933841299466,AB-65,30.0,182,60,37.655237298527204,30.0,16.6,6.130189619877849,7.655237298527223
86,182,946379880809,AB-66,30.0,182,60,37.65523729852725,30.0,16.6,6.130189619877804,7.655237298527257
87,183,602296657730,AB-67,30.0,183,60,37.65541209111902,30.0,16.6,6.130404333775968,7.655412091119001
87,183,387766280326,AB-68,30.0,183,60,37.655412091119146,30.0,16.6,6.130404333776036,7.6554120911191275
87,183,363188004109,AB-69,30.0,183,60,37.655412091119096,30.0,16.6,6.130404333776048,7.655412091119088
87,183,204345276868,AB-70,30.0,183,60,37.655412091119096,30.0,16.6,6.130404333776032,7.655412091119078
87,183,276765061396,AB-71,30.0,183,60,37.65541209111908,30.0,16.6,6.130404333776056,7.6554120911190715
87,183,246535881203,AB-72,30.0,183,60,37.655412091119096,30.0,16.6,6.130404333776043,7.6554120911190795
88,184,173608001740,AB-73,30.0,184,60,37.6555922883255,30.0,16.6,6.130611724939419,7.655592288325489
88,184,966609694487,AB-74,30.0,184,60,37.655592288325494,30.0,16.6,6.130611724939465,7.655592288325495
88,184,957012600352,AB-75,30.0,184,60,37.655592288325515,30.0,16.6,6.1306117249394445,7.6555922883255185
88,184,597973684328,AB-76,30.0,184,60,37.65559228832555,30.0,16.6,6.130611724939463,7.655592288325551
89,185,731300753059,AB-77,30.0,185,60,37.65577546394805,30.0,16.6,6.1308114081918905,7.655775463948029
89,185,340385222837,AB-78,30.0,185,60,37.655775463948075,30.0,16.6,6.130811408191889,7.655775463948063
89,185,92055603377,AB-79,30.0,185,60,37.65577546394803,30.0,16.6,6.1308114081918506,7.65577546394803
90,186,463498018937,AB-80,30.0,186,60,37.65596017952093,30.0,16.6,6.131003467676714,7.655960179520928
91,187,508698893238,AB-81,30.0,187,60,37.656143617840286,30.0,16.6,6.13118860566862,7.656143617840273
91,187,88460173002,AB-82,30.0,187,60,37.656143617840264,30.0,16.6,6.131188605668592,7.65614361784026
92,188,528035223318,AB-83,30.0,188,60,37.65632707457287,30.0,16.6,6.131366682437494,7.656327074572876
92,188,992158036510,AB-84,30.0,188,60,37.65632707457285,30.0,16.6,6.131366682437487,7.656327074572866
92,188,395035931758,AB-85,30.0,188,60,37.65632707457287,30.0,16.6,6.131366682437494,7.656327074572876
92,188,335596441718,AB-86,30.0,188,60,37.65632707457285,30.0,16.6,6.131366682437487,7.656327074572866
93,189,805450537329,AB-87,30.0,189,60,37.656512958011554,30.0,16.6,6.131537095813802,7.656512958011571
93,189,754348994582,AB-88,30.0,189,60,37.656512958011554,30.0,16.6,6.131537095813881,7.656512958011568
93,189,313066441588,AB-89,30.0,189,60,37.656512958011554,30.0,16.6,6.131537095813802,7.656512958011571
94,190,634036682962,AB-90,30.0,190,60,37.656699950260865,30.0,16.6,6.131700294653222,7.656699950260882
94,190,540404575300,AB-91,30.0,190,60,37.656699950260915,30.0,16.6,6.131700294653238,7.656699950260915
94,190,296793750880,AB-92,30.0,190,60,37.656699950260865,30.0,16.6,6.131700294653222,7.656699950260882
94,190,110787901182,AB-93,30.0,190,60,37.656699950260915,30.0,16.6,6.131700294653238,7.656699950260915
94,190,312640297875,AB-94,30.0,190,60,37.656699950260865,30.0,16.6,6.131700294653222,7.656699950260882
94,190,456979130049,AB-95,30.0,190,60,37.656699950260915,30.0,16.6,6.131700294653238,7.656699950260915
94,190,658940070226,AB-96,30.0,190,60,37.656699950260865,30.0,16.6,6.131700294653222,7.656699950260882
95,191,254257517817,AB-97,30.0,191,60,37.65689273682192,30.0,16.6,6.131854413991097,7.656892736821926
95,191,641101258700,AB-98,30.0,191,60,37.65689273682193,30.0,16.6,6.131854413991088,7.656892736821925
95,191,200123607218,AB-99,30.0,191,60,37.65689273682192,30.0,16.6,6.131854413991097,7.656892736821926
96,192,657624805528,AB-100,30.0,192,60,37.65689948962899,30.0,16.6,6.131904031248109,7.656899489628996
96,192,778289215449,AB-101,30.0,192,60,37.65689948962901,30.0,16.6,6.131904031248163,7.656899489629011
96,192,779598398610,AB-102,30.0,192,60,37.65689948962899,30.0,16.6,6.131904031248109,7.656899489628996
96,192,610328153209,AB-103,30.0,192,60,37.65689948962901,30.0,16.6,6.131904031248163,7.656899489629011
97,193,309000348524,AB-104,30.0,193,60,37.65692569800208,30.0,16.6,6.131953279234548,7.656925698002074
97,193,697734907512,AB-105,30.0,193,60,37.656925698002105,30.0,16.6,6.131953279234543,7.656925698002093
97,193,859618295729,AB-106,30.0,193,60,37.65692569800208,30.0,16.6,6.131953279234548,7.656925698002074
97,193,625323757756,AB-107,30.0,193,60,37.656925698002105,30.0,16.6,6.131953279234543,7.656925698002093
97,193,982407829609,AB-108,30.0,193,60,37.65692569800208,30.0,16.6,6.131953279234548,7.656925698002074
98,194,976500127015,AB-109,30.0,194,60,37.65697406374081,30.0,16.6,6.132000693665525,7.656974063740806
98,194,166694131198,AB-110,30.0,194,60,37.65697406374083,30.0,16.6,6.132000693665463,7.656974063740833
98,194,23178136478,AB-111,30.0,194,60,37.65697406374081,30.0,16.6,6.132000693665525,7.656974063740806
98,194,160744548507,AB-112,30.0,194,60,37.65697406374083,30.0,16.6,6.132000693665463,7.656974063740833
99,195,923496825259,AB-113,30.0,195,60,37.65703899443119,30.0,16.6,6.132045299215669,7.657038994431193
99,195,953549849879,AB-114,30.0,195,60,37.6570389944312,30.0,16.6,6.132045299215724,7.657038994431209
99,195,210978418718,AB-115,30.0,195,60,37.6570389944312,30.0,16.6,6.132045299215748,7.657038994431209
101,197,360525250814,AB-116,30.0,197,60,37.65719359776462,30.0,16.6,6.132128914842252,7.657193597764613
101,197,549375261627,AB-117,30.0,197,60,37.657193597764625,30.0,16.6,6.132128914842204,7.657193597764613
101,197,271830849176,AB-118,30.0,197,60,37.65719359776462,30.0,16.6,6.132128914842252,7.657193597764613
102,198,460601621074,AB-119,30.0,198,60,37.65728290917952,30.0,16.6,6.132167976872802,7.657282909179527
102,198,696161564823,AB-120,30.0,198,60,37.65728290917953,30.0,16.6,6.132167976872766,7.657282909179529
102,198,500355896674,AB-121,30.0,198,60,37.65728290917952,30.0,16.6,6.132167976872802,7.657282909179527
102,198,716070990564,AB-122,30.0,198,60,37.65728290917953,30.0,16.6,6.132167976872766,7.657282909179529
103,199,525955936229,AB-123,30.0,199,60,37.657387222220606,30.0,16.6,6.132203764897714,7.6573872222206125
103,199,1399023119,AB-124,30.0,199,60,37.657387222220635,30.0,16.6,6.132203764897812,7.657387222220637
104,200,394700286689,AB-125,30.0,200,60,37.65749920614977,30.0,16.6,6.132237956858547,7.657499206149775
104,200,492166969901,AB-126,30.0,200,60,37.657499206149815,30.0,16.6,6.132237956858582,7.657499206149817
104,200,402880331379,AB-127,30.0,200,60,37.65749920614977,30.0,16.6,6.132237956858547,7.657499206149775
104,200,354298300106,AB-128,30.0,200,60,37.65749920614981,30.0,16.6,6.132237956858586,7.657499206149805
105,201,500614319442,AB-129,30.0,201,60,37.657626058961526,30.0,16.6,6.132269361394322,7.657626058961535
106,202,445176628831,AB-130,30.0,202,60,37.6577568426518,30.0,16.6,6.132300051462164,7.657756842651793
107,203,90432788196,AB-131,30.0,203,60,37.657891512752116,30.0,16.6,6.132330023557076,7.657891512752126
107,203,273562920027,AB-132,30.0,203,60,37.6578915127521,30.0,16.6,6.132330023557088,7.6578915127521086
107,203,943477097742,AB-133,30.0,203,60,37.657891512752116,30.0,16.6,6.132330023557076,7.657891512752126
107,203,26544641333,AB-134,30.0,203,60,37.6578915127521,30.0,16.6,6.132330023557088,7.6578915127521086
107,203,39998689640,AB-135,30.0,203,60,37.657891512752116,30.0,16.6,6.132330023557076,7.657891512752126
108,204,283140359719,AB-136,30.0,204,60,37.657869968116096,30.0,16.6,6.132262136602195,7.657869968116089
108,204,582344170216,AB-137,30.0,204,60,37.65786996811612,30.0,16.6,6.132262136602217,7.657869968116116
108,204,990892802924,AB-138,30.0,204,60,37.657869968116096,30.0,16.6,6.132262136602195,7.657869968116089
109,205,992642237402,AB-139,30.0,205,60,37.26991833136629,30.0,16.6,6.236217696545063,7.2699183313662985
109,205,993117372481,AB-140,30.0,205,60,37.269918331366334,30.0,16.6,6.236217696545143,7.269918331366334
109,205,110048330966,AB-141,30.0,205,60,37.26991833136629,30.0,16.6,6.236217696545063,7.2699183313662985
110,206,664481445963,AB-142,30.0,206,60,36.86826341536685,30.0,16.6,6.343811344010536,6.86826341536685
110,206,523986834488,AB-143,30.0,206,60,36.868263415366854,30.0,16.6,6.343811344010529,6.868263415366854
111,207,173149909808,AB-144,30.0,207,60,36.45225978395659,30.0,16.6,6.455214589962292,6.452259783956593
111,207,942960244915,AB-145,30.0,207,60,36.45225978395658,30.0,16.6,6.45521458996224,6.452259783956566
111,207,241860085976,AB-146,30.0,207,60,36.45225978395659,30.0,16.6,6.455214589962292,6.452259783956593
111,207,998932268843,AB-147,30.0,207,60,36.45225978395658,30.0,16.6,6.45521458996224,6.452259783956566
112,208,582693815149,AB-148,30.0,208,60,36.02106432862636,30.0,16.6,6.570651873655923,6.021064328626371
112,208,183279000630,AB-149,30.0,208,60,36.02106432862637,30.0,16.6,6.570651873655898,6.021064328626379
113,209,386845421917,AB-150,30.0,209,60,35.5739713183649,30.0,16.6,6.690310641963606,5.573971318364888
113,209,189673528912,AB-151,30.0,209,60,35.573971318364876,30.0,16.6,6.690310641963609,5.57397131836488
113,209,410770673025,AB-152,30.0,209,60,35.5739713183649,30.0,16.6,6.690310641963606,5.573971318364888
114,210,594680068901,AB-153,30.0,210,60,35.11007943979426,30.0,16.6,6.814430768173402,5.110079439794255
114,210,716586093128,AB-154,30.0,210,60,35.11007943979427,30.0,16.6,6.8144307681734375,5.110079439794269
114,210,486891482369,AB-155,30.0,210,60,35.11007943979426,30.0,16.6,6.814430768173402,5.110079439794255
114,210,309589817766,AB-156,30.0,210,60,35.11007943979427,30.0,16.6,6.8144307681734375,5.110079439794269
115,211,577441372827,AB-157,30.0,211,60,34.628443425003084,30.0,16.6,6.943263917346359,4.6284434250030815
115,211,441707819568,AB-158,30.0,211,60,34.62844342500307,30.0,16.6,6.943263917346363,4.6284434250030735
115,211,359678102600,AB-159,30.0,211,60,34.628443425003084,30.0,16.6,6.943263917346359,4.6284434250030815
116,212,321331932008,AB-160,30.0,212,60,34.128107282832175,30.0,16.6,7.0770641437951305,4.128107282832172
116,212,208207240196,AB-161,30.0,212,60,34.12810728283219,30.0,16.6,7.077064143795116,4.128107282832193
117,213,451258624061,AB-162,30.0,213,60,33.60801598263676,30.0,16.6,7.2161116666332985,3.608015982636763
117,213,491842910264,AB-163,30.0,213,60,33.60801598263675,30.0,16.6,7.2161116666333065,3.6080159826367466
117,213,899076314793,AB-164,30.0,213,60,33.60801598263676,30.0,16.6,7.2161116666332985,3.608015982636763
118,214,729360461029,AB-165,30.0,214,60,33.06699028639895,30.0,16.6,7.360720239079298,3.066990286398954
118,214,770089772919,AB-166,30.0,214,60,33.06699028639894,30.0,16.6,7.360720239079287,3.066990286398947
119,215,375439247561,AB-167,30.0,215,60,32.50378417391343,30.0,16.6,7.511220563204008,2.5037841739134308
119,215,343739535235,AB-168,30.0,215,60,32.503784173913445,30.0,16.6,7.5112205632039934,2.50378417391344
119,215,655035205999,AB-169,30.0,215,60,32.50378417391343,30.0,16.6,7.511220563204008,2.5037841739134308
119,215,711037993210,AB-170,30.0,215,60,32.503784173913445,30.0,16.6,7.5112205632039934,2.50378417391344
120,216,113537575218,AB-171,30.0,216,60,31.917027764921567,30.0,16.6,7.667977276677731,1.917027764921568
121,217,133028689373,AB-172,30.0,217,60,31.30524541361024,30.0,16.6,7.83138070745398,1.3052454136102383
121,217,456039057606,AB-173,30.0,217,60,31.30524541361023,30.0,16.6,7.8313807074538815,1.3052454136102272
122,218,159736230158,AB-174,30.0,218,60,30.66682164638978,30.0,16.6,8.001859756677367,0.6668216463897806
122,218,961641903774,AB-175,30.0,218,60,30.66682164638978,30.0,16.6,8.00185975667737,0.6668216463897807
