arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.00000084523311,30.0,16.6,1.690466240221053e-06,8.452331201105265e-07
64,160,278369385093,AB-2,30.0,160,60,30.000000543353053,30.0,16.6,1.630059176238644e-06,5.433530587462146e-07
64,160,424517590749,AB-3,30.0,160,60,30.000000543353053,30.0,16.6,1.6300591761511598e-06,5.433530587170532e-07
66,162,844776132319,AB-4,30.0,162,60,30.000000254931038,30.0,16.6,1.5295862493395062e-06,2.5493104155658433e-07
66,162,4718856190,AB-5,30.0,162,60,30.000000254931038,30.0,16.6,1.5295862493395062e-06,2.5493104155658433e-07
67,163,121569120783,AB-6,30.0,163,60,30.000000122872287,30.0,16.6,1.474467443684756e-06,1.2287228697372967e-07
67,163,670749084726,AB-7,30.0,163,60,30.000000122872287,30.0,16.6,1.4744674435972717e-06,1.228722869664393e-07
