arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,45.2348592653644,30.0,16.6,7.296722666960622,15.234859265364447
64,160,278369385093,AB-2,30.0,160,60,44.670842818323486,30.0,16.6,7.026544131490143,14.670842818323528
64,160,424517590749,AB-3,30.0,160,60,44.6708428183235,30.0,16.6,7.026544131490137,14.670842818323555
66,162,844776132319,AB-4,30.0,162,60,44.14568563519542,30.0,16.6,6.775017346112642,14.145685635195484
66,162,4718856190,AB-5,30.0,162,60,44.14568563519544,30.0,16.6,6.775017346112594,14.145685635195493
67,163,121569120783,AB-6,30.0,163,60,43.8960298416124,30.0,16.6,6.65545599697995,13.896029841612409
67,163,670749084726,AB-7,30.0,163,60,43.896029841612396,30.0,16.6,6.655455996979961,13.896029841612402
68,164,825852755105,AB-8,30.0,164,60,43.6539518883916,30.0,16.6,6.539531276378551,13.653951888391616
68,164,136706589684,AB-9,30.0,164,60,43.65395188839152,30.0,16.6,6.539531276378473,13.653951888391532
69,165,575093329427,AB-10,30.0,165,60,43.41917009460239,30.0,16.6,6.427107794574709,13.419170094602407
69,165,891321954312,AB-11,30.0,165,60,43.419170094602364,30.0,16.6,6.427107794574768,13.419170094602407
69,165,209202122117,AB-12,30.0,165,60,43.41917009460239,30.0,16.6,6.427107794574709,13.419170094602407
69,165,185328219550,AB-13,30.0,165,60,43.419170094602364,30.0,16.6,6.427107794574768,13.419170094602407
70,166,108376890464,AB-14,30.0,166,60,43.190714278883114,30.0,16.6,6.317719892166991,13.190714278883085
70,166,219697492624,AB-15,30.0,166,60,43.19071427888315,30.0,16.6,6.317719892166999,13.19071427888311
71,167,978623784707,AB-16,30.0,167,60,42.96935207290293,30.0,16.6,6.21173560936623,12.969352072902899
71,167,811683149089,AB-17,30.0,167,60,42.969352072902886,30.0,16.6,6.211735609366202,12.969352072902879
71,167,171941012732,AB-18,30.0,167,60,42.969352072902915,30.0,16.6,6.211735609366206,12.969352072902923
71,167,816224748725,AB-19,30.0,167,60,42.96935207290294,30.0,16.6,6.211735609366184,12.969352072902932
72,168,274073747041,AB-20,30.0,168,60,42.754469981675875,30.0,16.6,6.1088602937328025,12.754469981675923
73,169,431704183663,AB-21,30.0,169,60,42.75478478738253,30.0,16.6,6.108999208972271,12.754784787382514
73,169,940029819622,AB-22,30.0,169,60,42.75478478738256,30.0,16.6,6.108999208972277,12.754784787382539
74,170,817649378776,AB-23,30.0,170,60,42.75510524130725,30.0,16.6,6.109138381317365,12.755105241307275
74,170,336111950120,AB-24,30.0,170,60,42.75510524130723,30.0,16.6,6.109138381317277,12.755105241307247
75,171,175410453742,AB-25,30.0,171,60,42.7554304358564,30.0,16.6,6.109277489248376,12.755430435856404
75,171,372832046289,AB-26,30.0,171,60,42.755430435856454,30.0,16.6,6.109277489248453,12.755430435856443
75,171,5688507352,AB-27,30.0,171,60,42.75543043585642,30.0,16.6,6.109277489248441,12.755430435856423
75,171,252426353444,AB-28,30.0,171,60,42.75543043585639,30.0,16.6,6.109277489248414,12.755430435856386
76,172,795662508473,AB-29,30.0,172,60,42.755762766530175,30.0,16.6,6.109417377224868,12.755762766530166
76,172,15254971246,AB-30,30.0,172,60,42.755762766530104,30.0,16.6,6.109417377224855,12.755762766530081
76,172,598843376928,AB-31,30.0,172,60,42.755762766530175,30.0,16.6,6.109417377224868,12.755762766530166
77,173,603804539042,AB-32,30.0,173,60,42.756099408493085,30.0,16.6,6.109556964457174,12.756099408493064
77,173,105147685412,AB-33,30.0,173,60,42.756099408493036,30.0,16.6,6.109556964457159,12.756099408493013
77,173,381943444943,AB-34,30.0,173,60,42.756099408493085,30.0,16.6,6.109556964457174,12.756099408493064
77,173,36476056592,AB-35,30.0,173,60,42.756099408493036,30.0,16.6,6.109556964457159,12.756099408493013
77,173,890411563442,AB-36,30.0,173,60,42.756099408493085,30.0,16.6,6.109556964457174,12.756099408493064
77,173,980920857012,AB-37,30.0,173,60,42.75609940849305,30.0,16.6,6.109556964457253,12.756099408493045
77,173,59941988818,AB-38,30.0,173,60,42.756099408493036,30.0,16.6,6.109556964457138,12.756099408493014
78,174,890545944728,AB-39,30.0,174,60,42.75644573988431,30.0,16.6,6.109697460893306,12.756445739884331
78,174,576901499400,AB-40,30.0,174,60,42.756445739884335,30.0,16.6,6.109697460893267,12.75644573988435
78,174,742479689097,AB-41,30.0,174,60,42.75644573988431,30.0,16.6,6.109697460893306,12.756445739884331
79,175,630183936475,AB-42,30.0,175,60,42.75679383508379,30.0,16.6,6.109836371859859,12.756793835083794
79,175,581842192398,AB-43,30.0,175,60,42.756793835083755,30.0,16.6,6.109836371859777,12.756793835083762
80,176,20439132026,AB-44,30.0,176,60,42.75714110110377,30.0,16.6,6.109972992120983,12.757141101103766
80,176,210026577672,AB-45,30.0,176,60,42.75714110110382,30.0,16.6,6.109972992120984,12.757141101103803
80,176,544684878178,AB-46,30.0,176,60,42.75714110110377,30.0,16.6,6.109972992120983,12.757141101103766
80,176,769115171105,AB-47,30.0,176,60,42.75714110110382,30.0,16.6,6.109972992120984,12.757141101103803
81,177,250695229138,AB-48,30.0,177,60,42.75748951226448,30.0,16.6,6.110107324323767,12.757489512264495
81,177,285895690406,AB-49,30.0,177,60,42.757489512264456,30.0,16.6,6.110107324323743,12.757489512264492
81,177,852395087841,AB-50,30.0,177,60,42.75748951226448,30.0,16.6,6.110107324323767,12.757489512264495
82,178,975006493606,AB-51,30.0,178,60,42.75783664504391,30.0,16.6,6.110238678420167,12.757836645043907
82,178,884853293491,AB-52,30.0,178,60,42.75783664504384,30.0,16.6,6.110238678420136,12.757836645043843
82,178,359507843936,AB-53,30.0,178,60,42.75783664504391,30.0,16.6,6.110238678420167,12.757836645043907
82,178,598858945875,AB-54,30.0,178,60,42.75783664504384,30.0,16.6,6.110238678420136,12.757836645043843
83,179,354795611657,AB-55,30.0,179,60,42.7581829422267,30.0,16.6,6.110366571065429,12.758182942226702
84,180,340190215370,AB-56,30.0,180,60,42.7585239939071,30.0,16.6,6.110490833605687,12.758523993907106
84,180,178080989505,AB-57,30.0,180,60,42.75852399390707,30.0,16.6,6.110490833605656,12.758523993907078
