arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.00000169046622,30.0,16.6,1.690466240221053e-06,1.690466240221053e-06
64,160,278369385093,AB-2,30.0,160,60,30.000001358382633,30.0,16.6,1.630059176238644e-06,1.358382646865536e-06
64,160,424517590749,AB-3,30.0,160,60,30.000001358382633,30.0,16.6,1.6300591761511598e-06,1.3583826467926332e-06
66,162,844776132319,AB-4,30.0,162,60,30.000001019724152,30.0,16.6,1.5295862493395062e-06,1.019724166226337e-06
66,162,4718856190,AB-5,30.0,162,60,30.000001019724152,30.0,16.6,1.5295862493395062e-06,1.019724166226337e-06
67,163,121569120783,AB-6,30.0,163,60,30.000000860106006,30.0,16.6,1.474467443684756e-06,8.601060088161077e-07
67,163,670749084726,AB-7,30.0,163,60,30.000000860106006,30.0,16.6,1.4744674435972717e-06,8.601060087650753e-07
68,164,825852755105,AB-8,30.0,164,60,30.00000070974294,30.0,16.6,1.4194858875402474e-06,7.097429437701237e-07
68,164,136706589684,AB-9,30.0,164,60,30.00000070974294,30.0,16.6,1.4194858873215363e-06,7.097429436607682e-07
69,165,575093329427,AB-10,30.0,165,60,30.00000056919461,30.0,16.6,1.366067081259637e-06,5.691946171915154e-07
69,165,891321954312,AB-11,30.0,165,60,30.00000056919461,30.0,16.6,1.366067081215895e-06,5.691946171732895e-07
69,165,209202122117,AB-12,30.0,165,60,30.00000056919461,30.0,16.6,1.366067081259637e-06,5.691946171915154e-07
69,165,185328219550,AB-13,30.0,165,60,30.00000056919461,30.0,16.6,1.366067081215895e-06,5.691946171732895e-07
70,166,108376890464,AB-14,30.0,166,60,30.000000438470295,30.0,16.6,1.3154108654651912e-06,4.3847028848839705e-07
70,166,219697492624,AB-15,30.0,166,60,30.000000438470295,30.0,16.6,1.3154108653339648e-06,4.3847028844465494e-07
71,167,978623784707,AB-16,30.0,167,60,30.000000316972315,30.0,16.6,1.2678892555158065e-06,3.169723138789516e-07
71,167,811683149089,AB-17,30.0,167,60,30.000000316972315,30.0,16.6,1.2678892554283224e-06,3.169723138570806e-07
71,167,171941012732,AB-18,30.0,167,60,30.000000316972315,30.0,16.6,1.2678892554720644e-06,3.169723138680161e-07
71,167,816224748725,AB-19,30.0,167,60,30.000000316972315,30.0,16.6,1.2678892554720644e-06,3.169723138680161e-07
72,168,274073747041,AB-20,30.0,168,60,30.000000204003015,30.0,16.6,1.224018106478517e-06,2.0400301774641947e-07
73,169,431704183663,AB-21,30.0,169,60,30.000000101213097,30.0,16.6,1.2145571424880205e-06,1.0121309520733504e-07
73,169,940029819622,AB-22,30.0,169,60,30.000000101213097,30.0,16.6,1.2145571424442783e-06,1.0121309520368985e-07
