arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,40.971966786978165,30.0,16.6,7.314442853207097,10.971966786978223
64,160,278369385093,AB-2,30.0,160,60,40.56559279821469,30.0,16.6,7.044101446192395,10.56559279821473
64,160,424517590749,AB-3,30.0,160,60,40.565592798214695,30.0,16.6,7.044101446192408,10.565592798214748
66,162,844776132319,AB-4,30.0,162,60,40.18719466582746,30.0,16.6,6.792421263493616,10.18719466582752
66,162,4718856190,AB-5,30.0,162,60,40.18719466582747,30.0,16.6,6.7924212634935595,10.187194665827521
67,163,121569120783,AB-6,30.0,163,60,40.007299199996304,30.0,16.6,6.672787106207984,10.007299199996307
67,163,670749084726,AB-7,30.0,163,60,40.0072991999963,30.0,16.6,6.672787106207961,10.007299199996298
68,164,825852755105,AB-8,30.0,164,60,39.832859176729855,30.0,16.6,6.556792520694622,9.832859176729873
68,164,136706589684,AB-9,30.0,164,60,39.832859176729805,30.0,16.6,6.556792520694567,9.832859176729821
69,165,575093329427,AB-10,30.0,165,60,39.663671918976874,30.0,16.6,6.444302030551049,9.663671918976888
69,165,891321954312,AB-11,30.0,165,60,39.663671918976846,30.0,16.6,6.444302030551049,9.663671918976881
69,165,209202122117,AB-12,30.0,165,60,39.663671918976874,30.0,16.6,6.444302030551049,9.663671918976888
69,165,185328219550,AB-13,30.0,165,60,39.663671918976846,30.0,16.6,6.444302030551049,9.663671918976881
70,166,108376890464,AB-14,30.0,166,60,39.49903838737358,30.0,16.6,6.334851287563461,9.49903838737355
70,166,219697492624,AB-15,30.0,166,60,39.49903838737358,30.0,16.6,6.334851287563463,9.499038387373545
71,167,978623784707,AB-16,30.0,167,60,39.33951207378414,30.0,16.6,6.228806836283474,9.339512073784121
71,167,811683149089,AB-17,30.0,167,60,39.339512073784114,30.0,16.6,6.22880683628345,9.339512073784103
71,167,171941012732,AB-18,30.0,167,60,39.339512073784135,30.0,16.6,6.228806836283488,9.339512073784134
71,167,816224748725,AB-19,30.0,167,60,39.33951207378415,30.0,16.6,6.228806836283503,9.339512073784142
72,168,274073747041,AB-20,30.0,168,60,39.184650864190935,30.0,16.6,6.125875374109844,9.184650864190978
73,169,431704183663,AB-21,30.0,169,60,39.18483938288563,30.0,16.6,6.126140783583646,9.184839382885604
73,169,940029819622,AB-22,30.0,169,60,39.18483938288565,30.0,16.6,6.126140783583663,9.184839382885622
74,170,817649378776,AB-23,30.0,170,60,39.185033444994545,30.0,16.6,6.126406343459465,9.18503344499457
74,170,336111950120,AB-24,30.0,170,60,39.18503344499455,30.0,16.6,6.126406343459492,9.185033444994561
75,171,175410453742,AB-25,30.0,171,60,39.185232437967215,30.0,16.6,6.126671427042628,9.185232437967223
75,171,372832046289,AB-26,30.0,171,60,39.18523243796725,30.0,16.6,6.126671427042698,9.185232437967244
