arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.000005920159175,30.0,16.6,1.7269771399933974e-06,5.920159228384083e-06
64,160,278369385093,AB-2,30.0,160,60,30.00000545345601,30.0,16.6,1.6892792212649006e-06,5.453456053487274e-06
64,160,424517590749,AB-3,30.0,160,60,30.00000545345601,30.0,16.6,1.6892792212649006e-06,5.453456053275853e-06
66,162,844776132319,AB-4,30.0,162,60,30.000004871164982,30.0,16.6,1.5968465001805802e-06,4.87116502917588e-06
66,162,4718856190,AB-5,30.0,162,60,30.000004871164982,30.0,16.6,1.596846500268065e-06,4.87116502919775e-06
67,163,121569120783,AB-6,30.0,163,60,30.000004575826622,30.0,16.6,1.5429091597114668e-06,4.5758266304546565e-06
67,163,670749084726,AB-7,30.0,163,60,30.000004575826622,30.0,16.6,1.5429091598864354e-06,4.575826630265106e-06
68,164,825852755105,AB-8,30.0,164,60,30.00000428935329,30.0,16.6,1.4879534477633088e-06,4.289353299690352e-06
68,164,136706589684,AB-9,30.0,164,60,30.00000428935329,30.0,16.6,1.4879534478945354e-06,4.289353299198254e-06
69,165,575093329427,AB-10,30.0,165,60,30.00000401605523,30.0,16.6,1.4337578936649043e-06,4.0160552606695316e-06
69,165,891321954312,AB-11,30.0,165,60,30.00000401605523,30.0,16.6,1.4337578936211623e-06,4.016055260596628e-06
69,165,209202122117,AB-12,30.0,165,60,30.00000401605523,30.0,16.6,1.4337578936649043e-06,4.0160552606695316e-06
69,165,185328219550,AB-13,30.0,165,60,30.00000401605523,30.0,16.6,1.4337578936211623e-06,4.016055260596628e-06
70,166,108376890464,AB-14,30.0,166,60,30.00000375904273,30.0,16.6,1.381735287865084e-06,3.7590426894736846e-06
70,166,219697492624,AB-15,30.0,166,60,30.00000375904273,30.0,16.6,1.381735287908826e-06,3.759042689200295e-06
71,167,978623784707,AB-16,30.0,167,60,30.000003518812633,30.0,16.6,1.3325192957382468e-06,3.5188126245567985e-06
71,167,811683149089,AB-17,30.0,167,60,30.000003518812633,30.0,16.6,1.3325192957382468e-06,3.51881262437454e-06
71,167,171941012732,AB-18,30.0,167,60,30.000003518812633,30.0,16.6,1.3325192956945045e-06,3.518812624476605e-06
71,167,816224748725,AB-19,30.0,167,60,30.000003518812633,30.0,16.6,1.3325192958694733e-06,3.518812624494831e-06
72,168,274073747041,AB-20,30.0,168,60,30.000003296012405,30.0,16.6,1.28673469442136e-06,3.2960124343753994e-06
73,169,431704183663,AB-21,30.0,169,60,30.00000316758366,30.0,16.6,1.2741279713341858e-06,3.1675836289214675e-06
73,169,940029819622,AB-22,30.0,169,60,30.00000316758366,30.0,16.6,1.2741279713779278e-06,3.167583628833983e-06
74,170,817649378776,AB-23,30.0,170,60,30.00000303934847,30.0,16.6,1.2609799534238882e-06,3.0393484801245146e-06
74,170,336111950120,AB-24,30.0,170,60,30.00000303934847,30.0,16.6,1.2609799532926616e-06,3.0393484800260958e-06
75,171,175410453742,AB-25,30.0,171,60,30.00000291156501,30.0,16.6,1.2473509653218613e-06,2.911565021589218e-06
75,171,372832046289,AB-26,30.0,171,60,30.00000291156501,30.0,16.6,1.2473509653218613e-06,2.911565021501733e-06
75,171,5688507352,AB-27,30.0,171,60,30.00000291156501,30.0,16.6,1.2473509653656034e-06,2.9115650217496062e-06
